trade_index,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,pnl_pct,leverage,entry_fee,exit_fee,funding_fee,liquidated
0,2024-01-03 12:00:00+00:00,2024-01-08 11:00:00+00:00,buy,42817.1979,44614.8814,0.11683389491492155,207.31913724550964,0.20731913724550963,5.0,2.5012499999999998,2.606265182564644,0.0,False
1,2024-01-10 12:00:00+00:00,2024-01-10 18:00:00+00:00,buy,44701.5396,46520.9279,0.11190889720496339,200.9009333783697,0.2009009333783697,5.0,2.50125,2.6030528691203068,0.0,False
2,2024-01-12 15:00:00+00:00,2024-01-12 18:00:00+00:00,buy,44517.34755,43488.34495,0.1123719240995076,-118.01664995663442,-0.11801664995663443,5.0,2.50125,2.4434344989673025,0.0,False
3,2024-01-12 18:00:00+00:00,2024-01-12 22:00:00+00:00,buy,43531.85505,42496.641050000006,0.11491584712515025,-121.3448109978092,-0.12134481099780921,5.0,2.50125,2.441768753117093,0.0,False
4,2024-01-12 22:00:00+00:00,2024-01-18 18:00:00+00:00,buy,42539.15895,41495.94165,0.11759752951110003,-125.05837810063346,-0.12505837810063347,5.0,2.50125,2.43991011138838,0.0,False
5,2024-01-18 18:00:00+00:00,2024-01-19 16:00:00+00:00,buy,41537.45834999999,40388.3957,0.12043346412407538,-140.74849441876333,-0.14074849441876333,5.0,2.5012499999999998,2.4320572022824556,0.0,False
6,2024-01-19 16:00:00+00:00,2024-01-22 23:00:00+00:00,buy,40428.804299999996,39547.2165,0.12373603638829359,-111.47637317759099,-0.11147637317759099,5.0,2.50125,2.4467079099498625,0.0,False
7,2024-01-23 09:00:00+00:00,2024-01-26 10:00:00+00:00,buy,38983.98225,40652.0638,0.12832193406819029,211.33620271490514,0.21133620271490514,5.0,2.5012500000000006,2.6082757253397326,0.0,False
8,2024-01-28 19:00:00+00:00,2024-01-30 02:00:00+00:00,buy,41791.48529999999,43576.500850000004,0.11970141678596909,210.95402482019452,0.2109540248201945,5.0,2.5012499999999998,2.608084445159993,0.0,False
9,2024-01-31 09:00:00+00:00,2024-02-08 00:00:00+00:00,buy,42659.5191,44634.37165,0.1172657382347285,228.84976750500815,0.22884976750500816,5.0,2.50125,2.6170412710902435,0.0,False
10,2024-02-13 14:00:00+00:00,2024-02-14 08:00:00+00:00,buy,48735.55559999999,50776.29915,0.10264579809160933,206.76307898193113,0.20676307898193114,5.0,2.5012499999999998,2.6059868751950273,0.0,False
11,2024-02-17 13:00:00+00:00,2024-02-26 16:00:00+00:00,buy,51246.710549999996,53412.180550000005,0.09761602152238043,208.6719843796756,0.2086719843796756,5.0,2.50125,2.606942283063035,0.0,False
12,2024-02-29 17:00:00+00:00,2024-03-04 01:00:00+00:00,buy,61113.44145,63555.8062,0.08185596951028848,197.22101233005023,0.19722101233005024,5.0,2.50125,2.6012110672545017,0.0,False
13,2024-03-05 07:00:00+00:00,2024-03-05 18:00:00+00:00,buy,66256.9119,64043.86205,0.07550155684210208,-169.42291208643815,-0.16942291208643814,5.0,2.50125,2.41770564547791,0.0,False
14,2024-03-05 18:00:00+00:00,2024-03-05 19:00:00+00:00,buy,64107.93795,61479.4449,0.07803245838138832,-207.4039680066813,-0.20740396800668132,5.0,2.50125,2.3986961127350535,0.0,False
15,2024-03-05 19:00:00+00:00,2024-03-06 04:00:00+00:00,buy,61540.95509999999,64619.77395,0.08128733120685676,247.51751115425276,0.24751751115425275,5.0,2.50125,2.626384483792932,0.0,False
16,2024-03-11 00:00:00+00:00,2024-03-11 07:00:00+00:00,buy,68183.97494999999,71188.18810000001,0.07336767918955127,217.69053953512582,0.21769053953512582,5.0,2.5012499999999998,2.6114560733031165,0.0,False
17,2024-03-12 16:00:00+00:00,2024-03-13 08:00:00+00:00,buy,70607.0859,73474.6443,0.07084982953531013,200.4616585648466,0.2004616585648466,5.0,2.50125,2.602833011911273,0.0,False
18,2024-03-14 13:00:00+00:00,2024-03-14 18:00:00+00:00,buy,71987.27565,70118.92300000001,0.0694914476875331,-132.20597835130994,-0.13220597835130993,5.0,2.50125,2.436332734780331,0.0,False
19,2024-03-14 18:00:00+00:00,2024-03-15 03:00:00+00:00,buy,70189.07699999999,68231.867,0.07127177352681244,-141.85561889257656,-0.14185561889257656,5.0,2.5012499999999998,2.4315030860677935,0.0,False
20,2024-03-15 03:00:00+00:00,2024-03-16 21:00:00+00:00,buy,68300.133,66250.85800000001,0.07324290276272229,-152.44604221447813,-0.15244604221447813,5.0,2.50125,2.4262025752204615,0.0,False
21,2024-03-16 21:00:00+00:00,2024-03-19 06:00:00+00:00,buy,66317.14199999999,64944.611450000004,0.07543298533582765,-105.93181864485742,-0.10593181864485741,5.0,2.5012499999999998,2.4494829615744376,0.0,False
22,2024-03-19 06:00:00+00:00,2024-03-19 08:00:00+00:00,buy,65009.58854999999,63502.4329,0.07695018706590476,-118.3612122752174,-0.1183612122752174,5.0,2.5012499999999998,2.4432620453975322,0.0,False
23,2024-03-19 08:00:00+00:00,2024-03-19 23:00:00+00:00,buy,63565.967099999994,61943.11295,0.0786977722234639,-130.08857315514905,-0.13008857315514905,5.0,2.50125,2.437392496875699,0.0,False
24,2024-03-19 23:00:00+00:00,2024-03-20 18:00:00+00:00,buy,62005.087049999995,65422.672300000006,0.08067886423522085,272.9499883979226,0.2729499883979226,5.0,2.50125,2.639113448198522,0.0,False
25,2024-03-21 18:00:00+00:00,2024-03-22 13:00:00+00:00,buy,65227.09725,63065.6514,0.07669358611539318,-168.10455581885077,-0.16810455581885078,5.0,2.50125,2.4183654832846333,0.0,False
26,2024-03-22 13:00:00+00:00,2024-03-23 16:00:00+00:00,buy,63128.74859999999,65664.3514,0.0792428190157408,198.226185669405,0.198226185669405,5.0,2.50125,2.601714156888103,0.0,False
27,2024-03-27 15:00:00+00:00,2024-04-02 02:00:00+00:00,buy,68956.461,66992.18715,0.07254577638489887,-144.85855731646274,-0.14485855731646274,5.0,2.5012499999999998,2.4300001142595975,0.0,False
28,2024-04-02 02:00:00+00:00,2024-04-02 11:00:00+00:00,buy,67059.21285,65651.3579,0.07459825111860077,-107.41976982432391,-0.10741976982432391,5.0,2.5012499999999998,2.4487382414506675,0.0,False
